rule,idx,project,file,line,verdict,reason
EXP34-C,1,pureftpd,puredb/src/example_read.c,25,FP,"In main(), the printf using 'data' is inside the true branch of ""if ((data = puredb_read(&db, retpos, retlen)) != NULL)"" — the assign-in-condition idiom directly guards this exact use, so NULL is not reachable at line 25."
EXP34-C,2,pureftpd,puredb/src/puredb_read.c,100,FP,"In read_memcmp(), 'mapoffsetbuf' is assigned via ALLOCA(len) and checked at line 89 (""if ((mapoffsetbuf = (unsigned char *) ALLOCA(len)) == NULL) { return -2; }""); the memcmp at line 100 executes only after that guarded early return, so mapoffsetbuf cannot be NULL there."
EXP34-C,3,pureftpd,puredb/src/puredb_read.c,315,FP,"In puredb_read(), 'buf' is assigned and checked at line 310 (""if ((buf = malloc(len + 1U)) == NULL) { return NULL; }""); the memcpy at line 315 (under USE_MAPPED_IO) is only reached after that guarded early return, so buf is guaranteed non-NULL."
EXP34-C,4,pureftpd,src/altlog.c,149,FP,"In urlencode() (altlog.c), quoted_filename_ptr is assigned from quoted_filename right after quoted_filename is null-checked at line 123 (malloc(...) == NULL -> return NULL), and is only ever advanced within bounds inside the encoding loop; sqc fails to credit that a pointer derived by arithmetic from an already-null-checked pointer cannot itself be null at line 149."
EXP34-C,5,pureftpd,src/altlog.c,173,FP,"In altlog_writexfer_clf(), the dereference tm->tm_mon at line 173 is part of the same short-circuit || condition that assigns and checks tm: '(tm = localtime(&now)) == NULL || tm->tm_mon > 11 || tm->tm_mon < 0' -- tm->tm_mon is only evaluated once tm is proven non-NULL by the preceding clause, the in-condition assign-and-check idiom sqc is known to miss."
EXP34-C,6,pureftpd,src/altlog.c,188,FP,"In the non-tm_gmtoff branch of altlog_writexfer_clf(), t = localtime(&now) at line 187 reuses the identical 'now' value that was already passed to localtime() earlier in this same function (line 172) and proven non-NULL there; a deterministic second call to localtime() with the same time_t argument cannot newly return NULL, so t->tm_yday at line 188 has no reachable NULL path even though there is no separate explicit check on t itself."
EXP34-C,7,pureftpd,src/altlog.c,214,FP,"In altlog_writexfer_clf(), quoted_filename is assigned via the in-if-condition idiom 'if ((quoted_filename = urlencode(filename)) == NULL) { return -1; }' at lines 209-211 with an early return on NULL; strlen(quoted_filename) at line 214 executes only after that guard, so the value cannot be NULL there."
EXP34-C,8,pureftpd,src/altlog.c,274,FP,"In altlog_writexfer_xferlog(), quoted_filename is checked immediately before use: 'if ((quoted_filename = ALLOCA(filename_size)) == NULL) { return -1; }' at lines 270-272, then quoted_filename[filename_idx] = 0 at line 274 executes only on the surviving (non-NULL) path -- classic assign-and-check-with-early-return that sqc is failing to credit."
EXP34-C,9,pureftpd,src/altlog.c,336,FP,"In altlog_writexfer_w3c(), tm->tm_mon at line 336 is part of the same short-circuit || chain '(tm = localtime(&now)) == NULL || tm->tm_mon > 11 || tm->tm_mon < 0' at lines 334-337; tm is proven non-NULL by the earlier clause before tm->tm_mon is ever evaluated."
EXP34-C,10,pureftpd,src/altlog.c,345,FP,"In altlog_writexfer_w3c(), quoted_filename is assigned and null-checked with an early return at lines 340-342 ('if ((quoted_filename = urlencode(filename)) == NULL) { return -1; }'), and strlen(quoted_filename) at line 345 is only reached on the non-NULL path."
