rule,idx,project,file,line,verdict,reason
EXP33-C,1,hostap,src/utils/eloop_win.c,658,FP,"os_free(eloop.readers) inside eloop_destroy(); 'eloop' is a file-scope static struct with no initializer, so the C standard guarantees it is zero-initialized before any code runs, meaning eloop.readers is NULL even if eloop_init() were somehow skipped. os_free maps to free(), which is a defined no-op on NULL, and every real caller (hostapd/main.c, wpa_supplicant.c, eapol_test.c, wpa_cli.c, etc.) invokes eloop_init() once before eloop_destroy() and destroys only once per process, so no path reads a genuinely indeterminate value or double-frees a stale pointer. The rule is treating implicit static zero-init as if it were uninitialized memory."
EXP33-C,2,hostap,wpa_supplicant/config_winreg.c,279,TP,"In wpa_config_read_global(), 'int val;' is declared at line 204 with no initializer. wpa_config_read_reg_dword(hk, TEXT(""pmf""), &val) at line 278 only writes *val when RegQueryValueEx succeeds and returns exactly sizeof(DWORD) bytes (see its definition at line 119-133), and unlike the eapol_version and extended_key_id reads a few lines above/below in the same function which correctly gate on '== 0', this call's return value is discarded. If the ""pmf"" registry value is absent, val remains genuinely indeterminate stack garbage and is copied straight into config->pmf at line 279. Real used-before-init bug."
EXP34-C,3,hostap,src/ap/ap_drv_ops.c,487,FP,"hostapd_sta_add() dereferences its 'hapd' parameter (hapd->driver) on entry with no NULL check. hapd is threaded through hostapd's per-BSS call graph from the interface's own bss[] array and every internal caller passes a live, non-null hostapd_data*; this is the standard documented non-NULL precondition on an internal helper, not a reachable NULL-deref."
EXP34-C,4,hostap,src/ap/ieee802_11.c,1200,FP,"sae_assign_vlan() dereferences hapd->iface at line 1200 unconditionally. Same hapd-non-null internal-parameter pattern as the rest of this cluster; hapd is never NULL on any real call path into this static function."
EXP34-C,5,hostap,src/ap/ieee802_11.c,3941,FP,"check_ssid() reads hapd->conf->ssid.ssid_len at line 3941 with no NULL guard on hapd. Same caller-guaranteed non-null hapd pattern seen throughout ieee802_11.c's internal STA-handling helpers."
EXP34-C,6,hostap,src/ap/ieee802_11.c,3959,FP,"check_wmm() reads hapd->conf->wmm_enabled at line 3959. Same hapd-always-valid parameter pattern; no caller in this file ever passes a NULL hapd into these static helpers."
EXP34-C,7,hostap,src/ap/ieee802_11.c,3986,FP,"check_multi_ap() reads hapd->conf->multi_ap at line 3986. Same hapd-non-null internal-parameter pattern."
EXP34-C,8,hostap,src/ap/ieee802_11.c,4092,FP,"owe_group_supported() reads hapd->conf->owe_groups at line 4092. Same hapd-non-null internal-parameter pattern; called only from owe_process_assoc_req() with the same always-valid hapd."
EXP34-C,9,hostap,src/ap/ieee802_11.c,4258,FP,"owe_process_assoc_req() passes hapd->wpa_auth (and calls ap_sta_is_mld(hapd, sta), itself a hapd deref) at line 4258. Same hapd-non-null internal-parameter pattern."
EXP34-C,10,hostap,src/ap/ieee802_11.c,4515,FP,"In the association-request handling path, hapd->iconf->ieee80211n is read at line 4515 right after several other unguarded hapd->... reads in the same function (check_wmm/check_multi_ap/copy_supp_rates calls). Same always-valid-hapd pattern."
EXP34-C,11,hostap,src/ap/ieee802_11.c,5153,FP,"ieee80211_ml_process_link() reads hapd->mld_link_id at line 5153 with no NULL check. Same hapd-non-null internal-parameter pattern."
EXP34-C,12,hostap,src/ap/ieee802_11.c,5402,FP,"add_associated_sta() reads hapd->mld_link_id at line 5402 (inside an ap_sta_is_mld(hapd, sta) branch). Same hapd-non-null internal-parameter pattern."
EXP34-C,13,hostap,src/ap/ieee802_11_eht.c,308,FP,"check_valid_eht_mcs() reads hapd->iface->current_mode at line 308 with no NULL check on hapd itself. Same hapd-non-null internal-parameter pattern seen across the 802.11 capability-negotiation helpers."
EXP34-C,14,hostap,src/ap/ieee802_11_eht.c,376,FP,"copy_sta_eht_capab() reads hapd->iface->current_mode at line 376. Same hapd-non-null internal-parameter pattern."
EXP34-C,15,hostap,src/ap/ieee802_11_eht.c,1156,FP,"hostapd_mld_validate_assoc_info() reads hapd->mld_link_id at line 1156. Same hapd-non-null internal-parameter pattern."
EXP34-C,16,hostap,src/ap/ieee802_11_eht.c,1350,FP,"hostapd_process_ml_assoc_req() writes info->links[hapd->mld_link_id].valid at line 1350, dereferencing hapd->mld_link_id. Same hapd-non-null internal-parameter pattern."
EXP34-C,17,hostap,src/ap/ieee802_11_he.c,422,FP,"check_valid_he_mcs() reads hapd->iface->current_mode at line 422. Same hapd-non-null internal-parameter pattern."
EXP34-C,18,hostap,src/ap/ieee802_11_he.c,507,FP,"copy_sta_he_6ghz_capab() reads hapd->iconf->op_class at line 507 (via is_6ghz_op_class(hapd->iconf->op_class)). Same hapd-non-null internal-parameter pattern."
